customerid,loannumber,loanamount,totaldue,termdays,closeddate_days,firstduedate_days,firstrepaiddate_days
8a858f03582604ff0158260fcc730548,8,20000.0,24500.0,30,30,30,30
8a858f03582604ff0158260fcc730548,4,10000.0,11500.0,15,12,15,12
8a858f085b905684015b906e73a01478,2,10000.0,13000.0,30,29,29,29
8a858f2656e154de0156e3a87cdc45fb,3,20000.0,24500.0,30,24,30,24
8a858f3d5add42e2015ae0ca6cb66b83,7,30000.0,34500.0,30,28,29,28
8a858f3d5add42e2015ae0ca6cb66b83,6,20000.0,24500.0,30,27,29,27
8a858f4655ca643c0155cbc4e13945cc,5,30000.0,34500.0,30,33,31,33
8a858f4655ca643c0155cbc4e13945cc,3,20000.0,24500.0,30,29,30,28
8a858f4655ca643c0155cbc4e13945cc,8,30000.0,34400.0,30,35,31,35
8a858f4655ca643c0155cbc4e13945cc,2,10000.0,13000.0,30,9,29,9
8a858f555cc65d60015cc72de106320c,1,10000.0,11500.0,15,13,15,13
8a858f60560bc43d01561d94abd91c48,2,10000.0,13000.0,30,13,29,13
8a858f6e5aa3c922015aa3d9cba10a74,4,20000.0,22250.0,15,19,17,19
8a858f7e564ad338015654d3a5c242a5,6,20000.0,24500.0,30,10,29,10
8a858f7e564ad338015654d3a5c242a5,3,10000.0,13000.0,30,25,31,25
8a858f9158aff6a30158b5f2ff887585,6,20000.0,23800.0,30,29,29,29
8a858f9158aff6a30158b5f2ff887585,1,10000.0,11500.0,15,13,15,13
8a858f995a4762a5015a4c25b0ea01c3,3,10000.0,13000.0,30,12,31,12
8a858f995a4762a5015a4c25b0ea01c3,5,20000.0,24500.0,30,21,29,21
8a858fae5b49223f015b499e1cf9485b,1,10000.0,11500.0,15,8,15,8
8a858fb15b34a708015b350c4a1a58d2,2,10000.0,13000.0,30,11,29,11
8a2a81a74ce8c05d014cfb32a0da1049,10,20000.0,24500.0,30,24,31,24
8a2a81a74ce8c05d014cfb32a0da1049,11,20000.0,24500.0,30,26,32,26
8a2a81a74ce8c05d014cfb32a0da1049,6,20000.0,23800.0,30,68,29,68
8a8588f35438fe12015444567666018e,6,10000.0,11500.0,15,14,14,14
8a8588f35438fe12015444567666018e,1,10000.0,11500.0,15,5,15,5
8a858970548359cc0154883481981866,1,10000.0,13000.0,30,23,31,23
8a858970548359cc0154883481981866,7,30000.0,39000.0,60,29,30,29
8a8589f35451855401546b0738c42524,1,10000.0,13000.0,30,24,29,24
8a8589f35451855401546b0738c42524,2,10000.0,13000.0,30,26,30,26
8a858e1158dc4d830158f7bde4f47ea7,4,20000.0,23800.0,30,28,29,28
8a858e1158dc4d830158f7bde4f47ea7,2,10000.0,13000.0,30,28,29,28
8a858e1158dc4d830158f7bde4f47ea7,1,10000.0,11500.0,15,13,14,13
8a858e1d5cd58f9e015ceda4bdb63673,1,10000.0,11500.0,15,12,14,12
8a858e395cb1d4d9015cb236b4811cbc,1,10000.0,13000.0,30,27,30,27
8a858e4456ced8470156dc8f1f4038d3,6,30000.0,34400.0,30,27,29,27
8a858e4456ced8470156dc8f1f4038d3,10,40000.0,44000.0,30,31,30,31
8a858e5357d823010157d932443d28a3,10,30000.0,34400.0,30,26,29,26
8a858e5357d823010157d932443d28a3,7,20000.0,21900.0,15,14,14,14
8a858e5357d823010157d932443d28a3,12,40000.0,44000.0,30,28,29,28
8a858e5b5bd99460015bdf725e143ff4,2,10000.0,13000.0,30,29,29,29
8a858e705668e16701567f1523211e5a,6,30000.0,32250.0,15,14,14,14
8a858e705668e16701567f1523211e5a,4,20000.0,22250.0,15,10,16,10
8a858e705668e16701567f1523211e5a,12,40000.0,44800.0,30,27,29,27
8a858e705668e16701567f1523211e5a,9,30000.0,34400.0,30,30,30,30
8a858e7d595026f8015951c0c4a03fae,2,10000.0,11500.0,15,7,14,7
8a858e7d595026f8015951c0c4a03fae,8,30000.0,34400.0,30,33,31,33
8a858e885c17687c015c19eead6338fd,1,10000.0,13000.0,30,16,29,16
8a858e9b5a195041015a1a602a51519d,4,10000.0,11125.0,15,0,15,0
8a858ea555d9e6020155f489c9b237f8,1,10000.0,13000.0,30,29,29,29
8a858eb85c1be44c015c1c4b667d25ee,2,10000.0,13000.0,30,18,30,18
8a858ed35cc5ce51015cc60f40f522b4,1,10000.0,11500.0,15,9,15,9
8a858edb5ad79cc6015ad7c9b29415c8,3,10000.0,13000.0,30,21,29,21
8a858ee55830c4b90158337542ab18a1,4,10000.0,13000.0,30,47,29,47
8a858ef75997d0180159a695b01e2c4c,4,20000.0,24500.0,30,30,29,30
8a858f03582604ff0158260fcc730548,3,10000.0,11500.0,15,16,16,16
8a858f03582604ff0158260fcc730548,9,20000.0,24500.0,30,30,29,30
8a858f085b905684015b906e73a01478,3,10000.0,13000.0,30,29,29,29
8a858f2656e154de0156e3a87cdc45fb,1,10000.0,13000.0,30,33,31,33
8a858f2e5c699f3a015c6cf27a036477,1,10000.0,13000.0,30,24,29,24
8a858f3d5add42e2015ae0ca6cb66b83,4,20000.0,21900.0,15,9,14,9
8a858f3d5add42e2015ae0ca6cb66b83,3,10000.0,11500.0,15,11,16,11
8a858f4655ca643c0155cbc4e13945cc,10,40000.0,44800.0,30,34,31,34
8a858f4655ca643c0155cbc4e13945cc,11,40000.0,44800.0,30,29,31,29
8a858f4655ca643c0155cbc4e13945cc,13,40000.0,44000.0,30,26,29,26
8a858f4f5511dca201551b73634170b6,3,10000.0,13000.0,30,31,29,31
8a858f5e599783c0015997c56ef70ffa,2,10000.0,11500.0,15,14,14,14
8a858f6e5aa3c922015aa3d9cba10a74,2,10000.0,11500.0,15,14,14,14
8a858f785cea234f015cea434e0a09e6,1,10000.0,11500.0,15,14,14,14
8a858f7e564ad338015654d3a5c242a5,4,10000.0,13000.0,30,28,29,28
8a858f9158aff6a30158b5f2ff887585,2,10000.0,13000.0,30,29,29,29
8a858f9158aff6a30158b5f2ff887585,5,20000.0,23800.0,30,19,30,19
8a858f975c4582c4015c550ee4925686,1,10000.0,13000.0,30,27,29,27
8a858f995a4762a5015a4c25b0ea01c3,4,20000.0,23800.0,30,29,31,29
8a858fa45bd95e9a015be131cdec35a8,1,10000.0,11500.0,15,13,14,13
8a858fc55b2fde30015b30c9256b43fd,1,10000.0,13000.0,30,28,29,28
8a858fd45a4260bc015a42ac9e89278d,3,10000.0,13000.0,30,10,29,10
8a858fe45cd62cbf015cdfb7b59f05f4,1,10000.0,13000.0,30,10,30,10
8a858ff8582fcb8601583e9ee74e1732,2,10000.0,13000.0,30,29,29,29
8a858e105bd92644015be762bf10576f,1,10000.0,11500.0,15,15,14,15
8a858ed1594a282f01594a4d14f50a58,1,10000.0,13000.0,30,26,30,26
8a858f5f5b39bb0c015b3b298dd1358b,3,10000.0,11500.0,15,22,14,22
8a858f9c57f74b1d0157f753c181047e,9,30000.0,34500.0,30,30,29,30
8a858f9c57f74b1d0157f753c181047e,8,30000.0,34400.0,30,28,29,28
8a858fe25ab3f041015ab51fc3c44cbd,2,10000.0,13000.0,30,24,30,24
8a8189d152443f820152443f89500001,6,20000.0,24500.0,30,80,29,80
8a8189d152443f820152443f89500001,8,20000.0,23800.0,30,57,31,57
8a8189d152443f820152443f89500001,11,10000.0,11500.0,15,4,16,4
8a8588b754517d800154555019c36231,3,10000.0,13000.0,30,35,29,35
8a8589045384bd8301539e05b3d35023,8,30000.0,33000.0,30,25,30,25
8a8589045384bd8301539e05b3d35023,4,10000.0,11125.0,15,14,14,14
8a8589045384bd8301539e05b3d35023,7,40000.0,47600.0,60,56,29,24
8a858953548fb0c001549b31ac5f6dda,7,30000.0,34500.0,30,29,29,29
8a858953548fb0c001549b31ac5f6dda,6,30000.0,34500.0,30,27,29,27
8a858953548fb0c001549b31ac5f6dda,12,10000.0,11000.0,30,26,30,26
8a858e0156b782a10156b8e131824d39,4,20000.0,22250.0,15,16,16,16
8a858e0f5c45466f015c546652e81026,1,10000.0,11500.0,15,15,14,15
8a858e195b90e512015b9312936863cf,1,10000.0,11500.0,15,14,14,14
8a858e3a54e337020154fda980777859,1,10000.0,11500.0,15,7,14,6
8a858e64590ae20001590c511d9b0cdf,2,10000.0,11500.0,15,6,15,6
8a858e705668e1670156810ee20960b7,6,30000.0,34500.0,30,27,29,27
8a858e705668e1670156810ee20960b7,2,10000.0,13000.0,30,26,30,26
8a858e8d56b784480156b7d232f723a8,6,25000.0,29000.0,30,25,29,25
8a858e8d56b784480156b7d232f723a8,8,30000.0,36800.0,60,58,29,29
8a858e9b5bcf8546015bcfaf5b680756,2,10000.0,13000.0,30,59,29,59
8a858eb85886bdc30158acf926932eda,2,10000.0,13000.0,30,29,29,29
8a858ec95afc0922015affaaf5992c1a,4,10000.0,12250.0,30,25,29,25
8a858ed45becf685015bed6fceb6498b,2,10000.0,11500.0,15,18,17,18
8a858eda552adcc2015559532234110a,4,20000.0,24500.0,30,27,29,27
8a858eda552adcc2015559532234110a,2,10000.0,13000.0,30,31,31,25
8a858edb5bd936e4015be394167c4698,1,10000.0,13000.0,30,24,30,24
8a858ee45b62dadc015b660294b5292e,2,10000.0,13000.0,30,29,29,29
8a858eed5756fb0e0157576dda0129e5,3,10000.0,13000.0,30,55,31,47
8a858f03582a54c301582f698a281700,5,20000.0,23800.0,30,27,29,27
8a858f03582a54c301582f698a281700,3,10000.0,13000.0,30,12,29,12
8a858f0a56ffda560157093acf144b87,1,10000.0,13000.0,30,31,31,31
8a858f0a56ffda560157093acf144b87,6,10000.0,11450.0,15,1,14,1
8a858f185d1daff6015d279fcb900eef,1,10000.0,11500.0,15,14,14,14
8a858f245a4cde1e015a4e6271fd6c46,4,20000.0,22250.0,15,10,14,10
8a858f265c2187bd015c346b5bb74ea9,1,10000.0,13000.0,30,7,29,7
8a858f2f54e28d530154f3a9d35625d8,2,10000.0,11500.0,15,9,15,9
8a858f375b493337015b4943d3aa1027,2,10000.0,13000.0,30,30,31,30
8a858f4e5ba5e8d3015ba9d8b01b3062,2,10000.0,13000.0,30,27,29,27
8a858f565b683b56015b7b6b606e1ec9,3,20000.0,24500.0,30,28,29,28
8a858f5f55f82ae30155f91ba4250aea,7,30000.0,34500.0,30,24,29,23
8a858f5f55f82ae30155f91ba4250aea,2,10000.0,13000.0,30,30,29,30
8a858f6a5b1fa846015b1ff2a147401d,5,15000.0,16687.5,15,16,16,16
8a858f765c350480015c35105f3f04c1,1,10000.0,13000.0,30,42,30,42
8a858f8e5b8c34d3015b8f4fe5ca199d,3,10000.0,11500.0,15,6,15,6
8a858fb15b34a708015b350c4a1a58d2,3,10000.0,13000.0,30,30,30,30
8a858fc55b2fde30015b30c9256b43fd,4,20000.0,24500.0,30,28,30,28
8a858fcb5ca240f7015ca64a71fa1951,1,10000.0,13000.0,30,8,32,7
8a858fd45a4260bc015a42ac9e89278d,1,10000.0,13000.0,30,29,30,29
8a858ff8582fcb8601583e9ee74e1732,1,10000.0,11500.0,15,10,14,10
8a858ff8582fcb8601583e9ee74e1732,4,10000.0,13000.0,30,29,29,29
8a858e675c3fe0a1015c417e73085191,2,10000.0,11500.0,15,17,16,17
8a858f5f5b39bb0c015b3b298dd1358b,2,10000.0,11500.0,15,27,14,27
8a858f9c57f74b1d0157f753c181047e,7,20000.0,23800.0,30,29,29,29
8a858f9c57f74b1d0157f753c181047e,4,10000.0,13000.0,30,26,30,26
8a858f9c57f74b1d0157f753c181047e,1,10000.0,13000.0,30,28,29,28
8a8189d152443f820152443f89500001,1,5000.0,6500.0,30,17,30,17
8a8189d152443f820152443f89500001,12,10000.0,11500.0,15,7,14,7
8a8189d152443f820152443f89500001,4,10000.0,13000.0,30,45,29,45
8a8588b754517d800154555019c36231,6,10000.0,13000.0,30,25,29,25
8a8588b754517d800154555019c36231,4,10000.0,13000.0,30,30,29,29
8a8589045384bd8301539e05b3d35023,9,40000.0,48000.0,60,23,29,23
8a8589045384bd8301539e05b3d35023,3,10000.0,13000.0,30,30,30,30
8a858953548fb0c001549b31ac5f6dda,2,10000.0,11500.0,15,14,14,14
8a858953548fb0c001549b31ac5f6dda,3,10000.0,13000.0,30,27,29,27
8a858953548fb0c001549b31ac5f6dda,4,15000.0,18375.0,30,15,29,15
8a858e0156b782a10156b8e131824d39,5,10000.0,12250.0,30,33,29,33
8a858e0156b782a10156b8e131824d39,2,10000.0,11500.0,15,15,14,15
8a858e195b90e512015b9312936863cf,4,20000.0,24500.0,30,29,29,29
8a858e2e5bb57a37015bc8ff494a1089,1,10000.0,11500.0,15,14,14,13
8a858e4b5cb1e4d7015cbbde80436cf1,1,10000.0,13000.0,30,27,30,27
8a858e64590ae20001590c511d9b0cdf,3,10000.0,11500.0,15,22,14,22
8a858e705668e1670156810ee20960b7,5,30000.0,34500.0,30,24,29,24
8a858e785c8d9167015c9b35e2411165,1,10000.0,13000.0,30,22,29,22
8a858e8d56b784480156b7d232f723a8,3,20000.0,24500.0,30,31,29,31
8a858e8d56b784480156b7d232f723a8,1,10000.0,11500.0,15,14,14,14
8a858ea45c109201015c10d210791b14,2,10000.0,11500.0,15,11,14,11
8a858eba5c884d2a015c8c4c58c5088a,1,10000.0,13000.0,30,23,29,23
8a858ec95afc0922015affaaf5992c1a,3,10000.0,11500.0,15,12,16,12
8a858ed45becf685015bed6fceb6498b,1,10000.0,13000.0,30,1,29,1
8a858eda552adcc2015559532234110a,1,10000.0,13000.0,30,17,31,17
8a858eda552adcc2015559532234110a,5,20000.0,23800.0,30,29,29,29
8a858edb5bd936e4015be394167c4698,3,20000.0,24500.0,30,30,31,30
8a858eed5756fb0e0157576dda0129e5,2,10000.0,11500.0,15,16,16,16
8a858ef95cf5154a015cf659212d26ce,1,10000.0,11500.0,15,11,15,11
8a858f03582a54c301582f698a281700,2,10000.0,13000.0,30,22,31,22
8a858f03582a54c301582f698a281700,8,30000.0,39000.0,60,38,29,35
8a858f0a56ffda560157093acf144b87,5,20000.0,23800.0,30,21,31,21
8a858f0a56ffda560157093acf144b87,3,10000.0,11500.0,15,9,14,9
8a858f245a4cde1e015a4e6271fd6c46,1,10000.0,13000.0,30,25,29,25
8a858f265c2187bd015c346b5bb74ea9,4,20000.0,24500.0,30,30,29,30
8a858f2f54e28d530154f3a9d35625d8,3,10000.0,11500.0,15,28,18,28
8a858f375b493337015b4943d3aa1027,4,20000.0,22250.0,15,18,18,18
8a858f405d13c45f015d1407060e316e,1,10000.0,11500.0,15,15,14,15
8a858f565b683b56015b7b6b606e1ec9,1,10000.0,11500.0,15,11,14,11
8a858f5f55f82ae30155f91ba4250aea,5,20000.0,21900.0,15,13,14,13
8a858f5f55f82ae30155f91ba4250aea,8,30000.0,34500.0,30,22,30,22
8a858f6a5b1fa846015b1ff2a147401d,2,10000.0,11500.0,15,12,14,12
8a858f6a5b1fa846015b1ff2a147401d,4,15000.0,16687.5,15,17,14,17
8a858f99560bbe4501561d163d570cba,5,30000.0,34500.0,30,22,29,22
8a858f99560bbe4501561d163d570cba,7,30000.0,36800.0,60,32,29,24
8a858f99560bbe4501561d163d570cba,6,30000.0,36800.0,60,22,30,22
8a858f9f5679951a01568d9941453c97,2,10000.0,11500.0,30,19,32,19
8a858fa25bd92c20015bda1a38cf5a24,1,10000.0,13000.0,30,31,31,31
8a858fa55acd8061015ad0b778b013ea,4,20000.0,24500.0,30,27,29,27
8a858fae5921beeb01592ad3c5c12bc1,4,20000.0,24500.0,30,26,29,26
8a858fb557330de1015750e05ade4eb8,3,10000.0,13000.0,30,31,31,31
8a858fbc594a495c01596db4320c084a,3,10000.0,13000.0,30,30,29,30
8a858fc9580b91da0158126363fb3f16,5,20000.0,21900.0,15,5,14,5
8a858fc9580b91da0158126363fb3f16,9,20000.0,21000.0,15,16,16,16
8a858fd05bfd7d3c015c0cc8a1a86a92,1,10000.0,13000.0,30,29,30,29
8a858fd55b8752ba015b895180e74ffe,3,10000.0,11500.0,15,3,14,3
8a858fe8555f401f01556e0a6ac317b7,4,20000.0,24500.0,30,28,29,28
8a858fe8555f401f01556e0a6ac317b7,5,30000.0,34400.0,30,29,29,29
8a858ffa55ca72a50155de6808cd2f3f,1,10000.0,11500.0,15,14,14,14
8a858ffa55ca72a50155de6808cd2f3f,4,20000.0,24500.0,30,29,29,29
8a858ffd5c8d343d015c978f755b7fbe,1,10000.0,11500.0,15,9,15,9
8a858eb95a8f9e4c015a91f3f9dc6d7a,1,10000.0,13000.0,30,29,32,29
8a858f3a58b5b0fe0158b6ca51f756ce,1,10000.0,13000.0,30,44,29,44
8a858fb959976ce001599c31ae157981,4,20000.0,23800.0,30,32,32,32
8a858fb959976ce001599c31ae157981,2,10000.0,13000.0,30,32,31,32
8a858ff259d1429e0159d2d0194c4b8e,1,10000.0,11500.0,15,9,14,9
8a85883353e2e4e40153f068a4634e02,9,25000.0,28750.0,30,25,31,25
8a85883353e2e4e40153f068a4634e02,3,10000.0,13000.0,30,25,30,24
8a85883353e2e4e40153f068a4634e02,6,10000.0,12250.0,30,27,29,27
8a8588b75438f49901544510041e0951,1,10000.0,11500.0,15,8,14,8
8a8588f5542eb0d401542f48f0381490,8,20000.0,21900.0,15,12,14,12
8a8588f5542eb0d401542f48f0381490,7,10000.0,13000.0,30,30,29,30
8a8588f5542eb0d401542f48f0381490,4,20000.0,24500.0,30,32,29,31
8a8588f5542eb0d401542f48f0381490,10,20000.0,21900.0,15,1,14,1
8a85890754145ace01542184054739e2,9,30000.0,34400.0,30,18,29,18
8a85890754145ace01542184054739e2,3,10000.0,13000.0,30,31,29,31
8a85890754145ace01542184054739e2,7,30000.0,34400.0,30,31,30,31
8a85896653e2e18b0153ea4c2b00049f,2,10000.0,13000.0,30,30,29,30
8a8589c1545181f301547d2cfb142ff4,2,10000.0,11500.0,15,9,14,9
8a858e185b4923b4015b49f7165a4acd,4,20000.0,22250.0,15,16,15,16
8a858e185b4923b4015b49f7165a4acd,5,20000.0,22250.0,15,14,14,14
8a858e225a28c713015a33e7c0bf5ed8,4,20000.0,23800.0,30,8,29,8
8a858e225a28c713015a33e7c0bf5ed8,8,30000.0,34500.0,30,27,29,27
8a858e3e5922ba4301593831652558a5,3,10000.0,13000.0,30,33,29,33
8a858e4f58b9f0b40158c027a53e65a8,1,10000.0,11500.0,15,8,16,8
8a858e4f58b9f0b40158c027a53e65a8,3,10000.0,13000.0,30,24,30,24
8a858e585693982b0156b6329ee229d6,7,20000.0,24500.0,30,29,29,29
8a858e585693982b0156b6329ee229d6,5,10000.0,13000.0,30,27,30,27
8a858e675cc6685e015cc6eb279c3e84,1,10000.0,11500.0,15,15,15,15
8a858e705668e167015685e1e07c19d4,1,10000.0,13000.0,30,26,29,26
8a858e705668e167015685e1e07c19d4,8,40000.0,48000.0,60,27,29,27
8a858e7855113fb70155136433e942c9,3,10000.0,13000.0,30,30,29,30
8a858e7855113fb70155136433e942c9,5,20000.0,23800.0,30,60,29,60
8a858e7d5d328208015d3409dd464483,1,10000.0,13000.0,30,13,30,13
8a858eb55cf45581015cf47853d613db,1,10000.0,13000.0,30,17,29,17
8a858ec959f3d0320159f411f586198d,8,15000.0,18375.0,30,47,29,47
8a858ec959f3d0320159f411f586198d,7,20000.0,22250.0,15,11,14,11
8a858edb5a70bfe0015a7ef6715642d0,1,10000.0,13000.0,30,30,30,30
8a858f7c5be8dc45015be8eaadb90c0e,2,10000.0,13000.0,30,31,31,31
8a858f8e5b8c34d3015b8f4fe5ca199d,2,10000.0,11500.0,15,8,14,8
8a858f99560bbe4501561d163d570cba,8,40000.0,47600.0,60,29,31,29
8a858f99560bbe4501561d163d570cba,3,20000.0,24500.0,30,24,29,24
8a858f9f5679951a01568d9941453c97,3,20000.0,22250.0,15,20,14,20
8a858f9f5679951a01568d9941453c97,1,10000.0,13000.0,30,30,29,30
8a858fa55acd8061015ad0b778b013ea,3,10000.0,11500.0,15,11,14,11
8a858fae5921beeb01592ad3c5c12bc1,2,10000.0,13000.0,30,25,29,25
8a858fb557330de1015750e05ade4eb8,1,10000.0,11500.0,15,32,17,32
8a858fbc594a495c01596db4320c084a,5,20000.0,24500.0,30,26,30,26
8a858fc9580b91da0158126363fb3f16,1,10000.0,11500.0,15,11,15,11
8a858fc9580b91da0158126363fb3f16,2,10000.0,11500.0,15,8,14,8
8a858fc9580b91da0158126363fb3f16,3,10000.0,11450.0,15,12,14,12
8a858fd55b8752ba015b895180e74ffe,2,10000.0,13000.0,30,19,29,19
8a858fe45cd62cbf015cd63942a40385,1,10000.0,11500.0,15,14,14,14
8a858fe8555f401f01556e0a6ac317b7,7,30000.0,34500.0,30,26,30,26
8a858ff35c5f4d1d015c6379bbcf0adc,1,10000.0,13000.0,30,11,31,11
8a858ffa55ca72a50155de6808cd2f3f,6,30000.0,36800.0,60,57,29,29
8a858ffa55ca72a50155de6808cd2f3f,3,20000.0,22250.0,15,15,14,15
8a858e6d5b62e36f015b668ed4dc3aaa,2,10000.0,13000.0,30,37,29,37
8a858f045bc9690c015bcabf87506275,2,10000.0,13000.0,30,34,32,34
8a858f6b570f2de9015721e9fbb40ecf,3,10000.0,13000.0,30,50,30,49
8a858fb959976ce001599c31ae157981,6,20000.0,24500.0,30,29,31,29
8a858ff259d1429e0159d2d0194c4b8e,4,10000.0,11500.0,15,10,14,10
8a85883353e2e4e40153f068a4634e02,5,15000.0,16687.5,15,11,15,11
8a85883353e2e4e40153f068a4634e02,11,30000.0,36800.0,60,44,29,29
8a85883353e2e4e40153f068a4634e02,1,10000.0,13000.0,30,28,31,27
8a85883353e2e4e40153f068a4634e02,13,30000.0,36000.0,60,43,31,31
8a8588b75438f49901544510041e0951,4,20000.0,22250.0,15,7,14,7
8a8588f5542eb0d401542f48f0381490,6,20000.0,23800.0,30,50,29,50
8a8588f5542eb0d401542f48f0381490,1,10000.0,13000.0,30,31,30,31
8a8588f5542eb0d401542f48f0381490,11,30000.0,34400.0,30,31,31,31
8a85890754145ace01542184054739e2,10,40000.0,44800.0,30,30,29,30
8a85890754145ace01542184054739e2,5,20000.0,24500.0,30,30,29,30
8a85890754145ace01542184054739e2,6,30000.0,34500.0,30,30,29,30
8a85896653e2e18b0153ea4c2b00049f,1,10000.0,13000.0,30,33,31,31
8a8589c1545181f301547d2cfb142ff4,1,10000.0,13000.0,30,68,29,68
8a858e045b495c30015b4f8417aa61c4,2,10000.0,13000.0,30,25,29,25
8a858e185b4923b4015b49f7165a4acd,6,20000.0,24500.0,30,13,31,13
8a858e225a28c713015a33e7c0bf5ed8,3,10000.0,13000.0,30,6,29,6
8a858e225a28c713015a33e7c0bf5ed8,2,10000.0,13000.0,30,25,29,25
8a858e2c5cc64f70015cc942825e71ae,1,10000.0,13000.0,30,26,29,26
8a858e3e5922ba4301593831652558a5,1,10000.0,13000.0,30,32,29,32
8a858e4f58b9f0b40158c027a53e65a8,4,20000.0,21900.0,15,11,14,11
8a858e4f58b9f0b40158c027a53e65a8,2,10000.0,13000.0,30,19,29,19
8a858e585693982b0156b6329ee229d6,6,15000.0,18350.0,30,25,30,25
8a858e585693982b0156b6329ee229d6,4,20000.0,23800.0,30,40,31,40
8a858e705668e167015685e1e07c19d4,7,30000.0,36800.0,60,32,32,32
8a858e705668e167015685e1e07c19d4,3,20000.0,24500.0,30,27,29,27
8a858e705668e167015685e1e07c19d4,2,10000.0,13000.0,30,28,30,28
8a858e7855113fb70155136433e942c9,6,10000.0,13000.0,30,27,29,27
8a858e7855113fb70155136433e942c9,2,10000.0,13000.0,30,30,29,30
8a858eae5bb5beb8015bb947fd2f4f4d,1,10000.0,13000.0,30,23,30,23
8a858ec959f3d0320159f411f586198d,6,10000.0,11500.0,15,5,16,5
8a85882953bc04f80153c205b75d7403,3,10000.0,11500.0,15,17,16,17
8a85882953bc04f80153c205b75d7403,7,30000.0,39000.0,60,55,29,18
8a8588dc536a14130153753dc8d32698,15,40000.0,44000.0,30,31,31,31
8a8588dc536a14130153753dc8d32698,11,30000.0,34400.0,30,32,30,32
8a8588dc536a14130153753dc8d32698,4,10000.0,13000.0,30,29,29,24
8a8588dc536a14130153753dc8d32698,14,40000.0,44800.0,30,30,29,30
8a8588fd53c244bc0153c8305ea7338f,1,10000.0,11500.0,15,7,16,7
8a85895054a061920154a909b1a76c1d,11,30000.0,34500.0,30,31,29,31
8a85895054a061920154a909b1a76c1d,5,20000.0,23800.0,30,26,30,26
8a85895054a061920154a909b1a76c1d,2,10000.0,11500.0,15,14,14,14
8a8589b953bc23f70153c90114817143,2,10000.0,13000.0,30,30,30,29
8a858e02578f616401579484a4963345,2,10000.0,11500.0,15,16,14,16
8a858e02578f616401579484a4963345,1,10000.0,11500.0,15,14,14,14
8a858e02578f616401579484a4963345,10,30000.0,34500.0,30,32,32,32
8a858e1556321b940156548b9ca970a6,11,40000.0,48000.0,60,34,29,31
8a858e1556321b940156548b9ca970a6,5,20000.0,21900.0,15,15,16,15
8a858e1556321b940156548b9ca970a6,6,20000.0,21900.0,15,11,14,11
8a858e195b90e512015ba0eb4eed5ef5,2,10000.0,11500.0,15,13,14,13
